"","word","freq"
"불법주정차","불법주정차",3870
"장애인","장애인",1866
"주차","주차",1817
"차량","차량",1421
"도로","도로",1163
"아파트","아파트",863
"단속","단속",751
"위반","위반",678
"설치","설치",637
"주차장","주차장",600
"공사","공사",593
"조치","조치",566
"인도","인도",556
"버스","버스",542
"장유","장유",538
"불편","불편",537
"불법","불법",529
"위험","위험",490
"진영","진영",338
"거리","거리",318
"전화","전화",313
"삼계","삼계",308
"진영읍","진영읍",293
"안전","안전",290
"통행","통행",290
"건물","건물",281
"차선","차선",280
"피해","피해",272
"진행","진행",266
"삼문","삼문",264
"삼계동","삼계동",245
"횡단보도","횡단보도",245
"과태료","과태료",243
"아침","아침",227
"번길","번길",218
"개선","개선",216
"입구","입구",216
"부분","부분",215
"불법광고","불법광고",215
"부영","부영",214
"구역","구역",213
"쓰레기","쓰레기",212
"신호","신호",210
"부과","부과",207
"오전","오전",206
"외동","외동",193
"좌회전","좌회전",193
"해결","해결",193
"오후","오후",191
"파손","파손",189
"하주","하주",182
"정차","정차",180
"상태","상태",177
"허가","허가",177
"가로등","가로등",176
"공원","공원",168
"기사","기사",168
"야간","야간",167
"능동","능동",166
"보행자","보행자",166
"거주","거주",165
"대우푸르지","대우푸르지",165
"저녁","저녁",165
"주택","주택",165
"율하","율하",161
"소리","소리",160
"현장","현장",157
"대청","대청",155
"도로가","도로가",153
"회사","회사",151
"철거","철거",149
"업무","업무",148
"보도","보도",147
"주정차","주정차",146
"상가","상가",143
"나무","나무",142
"작업","작업",142
"관리","관리",139
"택시","택시",139
"내동","내동",138
"전용","전용",138
"방치","방치",137
"진입","진입",136
"근처","근처",135
"상설할인마트옆","상설할인마트옆",135
"트럭","트럭",135
"가게","가게",134
"영업","영업",132
"부원","부원",131
"직진","직진",131
"변경","변경",130
"구산동","구산동",129
"봉황","봉황",129
"학생","학생",128
"신청","신청",127
"강력","강력",125
"물상","물상",125
"우회전","우회전",125
"입주자","입주자",125
"주차하","주차하",125
"라인","라인",124
"매일","매일",124
"운행","운행",124
"방향","방향",122
"학교","학교",122
"부산","부산",121
"정확","정확",121
"창문","창문",119
"방해","방해",118
"벌금","벌금",118
"이동","이동",118
"인지","인지",118
"맞은편","맞은편",117
"새벽","새벽",117
"시정","시정",117
"공장","공장",116
"인근","인근",116
"출근","출근",116
"버스정류장","버스정류장",115
"토지","토지",115
"주말","주말",113
"고가","고가",112
"적어","적어",112
"운전","운전",110
"위협","위협",110
"대로","대로",109
"조속","조속",109
"자동차","자동차",108
"차로","차로",108
"무단","무단",107
"파일","파일",107
"장소","장소",106
"일반차량","일반차량",105
"하루","하루",105
"화물차","화물차",105
"냄새","냄새",104
"정문","정문",104
"진영리","진영리",103
"처벌","처벌",103
"골목","골목",102
"방법","방법",101
"시설","시설",101
"요구","요구",101
"이후","이후",99
"카메라","카메라",99
"당연","당연",98
"cctv","cctv",97
"대형","대형",97
"보시","보시",97
"좋겠","좋겠",95
"이전","이전",94
"주위","주위",94
"하기","하기",94
"현수막","현수막",94
"신호등","신호등",93
"방문","방문",92
"해반천","해반천",92
"내외","내외",91
"업체","업체",90
"근무","근무",89
"모르겠","모르겠",89
"수가","수가",89
"환경","환경",89
"결과","결과",88
"상습적","상습적",88
"수고","수고",88
"자전거","자전거",88
"잘못","잘못",88
"과속","과속",87
"정류장","정류장",87
"걱정","걱정",86
"보행","보행",86
"시경","시경",86
"율하천","율하천",86
"관동동","관동동",85
"경찰","경찰",84
"교통","교통",84
"시작","시작",84
"선거","선거",83
"이야기","이야기",83
"중앙","중앙",83
"차도","차도",83
"측정","측정",83
"표지판","표지판",83
"다리","다리",82
"동네","동네",82
"삼방동","삼방동",82
"센터","센터",82
"신설","신설",82
"심각","심각",82
"주소","주소",82
"최근","최근",82
"출퇴근","출퇴근",82
"가로수","가로수",81
"교육","교육",81
"빌라","빌라",81
"중흥","중흥",81
"표시","표시",81
"교차로","교차로",80
"리츠빌","리츠빌",80
"시설물","시설물",80
"일반","일반",80
"규정","규정",79
"신호위반","신호위반",79
"악취","악취",79
"양이","양이",79
"중앙선","중앙선",79
"승객","승객",78
"어제","어제",78
"홈플러스","홈플러스",78
"계획","계획",77
"비장","비장",77
"자리","자리",77
"길을","길을",76
"주행","주행",76
"확보","확보",76
"그곳","그곳",75
"상습","상습",75
