"","word","freq"
"불법주정차","불법주정차",592
"삼계","삼계",239
"삼계동","삼계동",207
"장애인","장애인",202
"주차","주차",147
"차량","차량",134
"대우푸르지","대우푸르지",130
"아파트","아파트",72
"도로","도로",69
"단속","단속",64
"설치","설치",63
"차선","차선",61
"부영","부영",56
"육교","육교",52
"주차장","주차장",50
"불법","불법",48
"좌회전","좌회전",47
"조치","조치",40
"위반","위반",36
"위험","위험",36
"인도","인도",34
"불편","불편",33
"카메라","카메라",33
"파크","파크",31
"주정차","주정차",30
"직진","직진",30
"개선","개선",28
"분성","분성",27
"신호","신호",27
"경전철","경전철",26
"계약","계약",26
"거리","거리",25
"무단","무단",25
"전화","전화",25
"건물","건물",24
"대기","대기",22
"보도","보도",22
"안전","안전",22
"벌금","벌금",21
"푸르지","푸르지",21
"공사","공사",20
"구역","구역",20
"오피스텔","오피스텔",20
"전용","전용",20
"횡단보도","횡단보도",20
"입구","입구",19
"출퇴근","출퇴근",19
"해반천","해반천",19
"화정","화정",19
"게수작","게수작",18
"버스정류장","버스정류장",18
"학교","학교",18
"확보","확보",18
"방향","방향",17
"우회전","우회전",17
"저녁","저녁",17
"골목","골목",16
"대형차","대형차",16
"라인","라인",16
"시정","시정",16
"통행","통행",16
"피해","피해",16
"학생","학생",16
"보행자","보행자",15
"블루","블루",15
"높이","높이",14
"매일","매일",14
"오후","오후",14
"진행","진행",14
"철거","철거",14
"목격","목격",13
"시행","시행",13
"쓰레기","쓰레기",13
"아침","아침",13
"양쪽","양쪽",13
"오전","오전",13
"차아파트","차아파트",13
"출근","출근",13
"탑마트","탑마트",13
"해결","해결",13
"현대","현대",13
"관리","관리",12
"대형","대형",12
"세대","세대",12
"속도","속도",12
"엘레베이트","엘레베이트",12
"진영","진영",12
"현장","현장",12
"가로등","가로등",11
"거주","거주",11
"대로","대로",11
"번길","번길",11
"부과","부과",11
"삼계두산위브","삼계두산위브",11
"신호위반","신호위반",11
"운전","운전",11
"운행","운행",11
"진입","진입",11
"현수막","현수막",11
"cctv","cctv",10
"sk","sk",10
"가게","가게",10
"간판","간판",10
"과태료","과태료",10
"관리비","관리비",10
"근처","근처",10
"맥도날드","맥도날드",10
"무단횡단","무단횡단",10
"밤샘","밤샘",10
"버스","버스",10
"부분","부분",10
"신호등","신호등",10
"안전사고","안전사고",10
"청소","청소",10
"화물자동차","화물자동차",10
"환경","환경",10
"강력","강력",9
"골대","골대",9
"공원","공원",9
"관계","관계",9
"관리사무소","관리사무소",9
"깜빡이","깜빡이",9
"누구","누구",9
"도로가","도로가",9
"모여","모여",9
"방문","방문",9
"방향지시등","방향지시등",9
"상태","상태",9
"식당","식당",9
"신호체계","신호체계",9
"이후","이후",9
"자전거","자전거",9
"정체","정체",9
"질의","질의",9
"퇴근","퇴근",9
"특정","특정",9
"파손","파손",9
"한쪽","한쪽",9
"횡단","횡단",9
"흰색","흰색",9
"급브레이크","급브레이크",8
"기간","기간",8
"농구","농구",8
"대로변","대로변",8
"대지","대지",8
"롯데리","롯데리",8
"맞은편","맞은편",8
"범죄","범죄",8
"변경","변경",8
"불법광고","불법광고",8
"비슷","비슷",8
"빌딩","빌딩",8
"사고","사고",8
"상습","상습",8
"수가","수가",8
"시경","시경",8
"연장","연장",8
"예방","예방",8
"오르막길","오르막길",8
"옥탑방","옥탑방",8
"왼쪽","왼쪽",8
"요구","요구",8
"일반","일반",8
"임대","임대",8
"작업자","작업자",8
"장신대","장신대",8
"장애","장애",8
"저도","저도",8
"주말","주말",8
"중앙","중앙",8
"체육","체육",8
"촬영","촬영",8
"토지주","토지주",8
"폐기물","폐기물",8
"하주","하주",8
"해동","해동",8
"허가","허가",8
"결과","결과",7
"교차로","교차로",7
"대부분","대부분",7
"대책","대책",7
"마다","마다",7
"밝기","밝기",7
"방면","방면",7
"방해","방해",7
"보행","보행",7
"샛길","샛길",7
"시설","시설",7
"신청","신청",7
"안하","안하",7
"어제","어제",7
"인지","인지",7
"정차","정차",7
"정확","정확",7
"좌측","좌측",7
"주인","주인",7
"주차할","주차할",7
"차도","차도",7
"차량번호","차량번호",7
"차주","차주",7
"추가","추가",7
"충돌","충돌",7
"하기","하기",7
"가로수","가로수",6
"건물주","건물주",6
"고가","고가",6
"과정","과정",6
"금액","금액",6
"남의","남의",6
"놀이터","놀이터",6
"당연","당연",6
"뒷쪽","뒷쪽",6
"레일","레일",6
"마찬","마찬",6
"바닥","바닥",6
"보시","보시",6
"분양","분양",6
"성인","성인",6
"세금","세금",6
"시설물","시설물",6
"아스팔트","아스팔트",6
"악취","악취",6
"애완동물","애완동물",6
"왕복","왕복",6
"월세","월세",6
"이동","이동",6
"이사","이사",6
"일반차량","일반차량",6
"작년","작년",6
"장유도서관","장유도서관",6
"정리","정리",6
"정성","정성",6
"좋겠","좋겠",6
"주의","주의",6
"주차위반","주차위반",6
"주차장으","주차장으",6
"주차하","주차하",6
"차감","차감",6
"천장","천장",6
"초등학교","초등학교",6
"추월","추월",6
"침범","침범",6
"팬스","팬스",6
"편리","편리",6
"평행","평행",6
"하고있","하고있",6
"한대","한대",6
"화살표","화살표",6
"휠체어","휠체어",6
"가야대학교","가야대학교",5
"건축","건축",5
"건축물","건축물",5
"교통","교통",5
"기존","기존",5
"나면","나면",5
"내고","내고",5
"농협","농협",5
"답답","답답",5
"대형사고","대형사고",5
"뚜렷","뚜렷",5
"마땅","마땅",5
"마련","마련",5
"만원","만원",5
"밤에","밤에",5
"방치","방치",5
"부산","부산",5
"삼성","삼성",5
"상가","상가",5
"상습적","상습적",5
"선생님","선생님",5
"세우","세우",5
"세입자","세입자",5
"소리","소리",5
"속국","속국",5
"수고","수고",5
"수시","수시",5
"신설","신설",5
"야간","야간",5
"업무","업무",5
"업체","업체",5
"영업","영업",5
"원상","원상",5
"원인","원인",5
"유턴","유턴",5
"음식점","음식점",5
"이중주","이중주",5
"일주일","일주일",5
"작업","작업",5
"장면","장면",5
"정규","정규",5
"조명","조명",5
"조속","조속",5
"종합","종합",5
"주소","주소",5
"증명","증명",5
"처벌","처벌",5
"처분","처분",5
"최소한","최소한",5
"콘크리트","콘크리트",5
"하루","하루",5
"하소연","하소연",5
"혼잡","혼잡",5
"후문","후문",5
"가야대역","가야대역",4
"가정집","가정집",4
"개가","개가",4
"개발제한구역","개발제한구역",4
"개조","개조",4
"객의","객의",4
"거기","거기",4
"거동","거동",4
"건너편","건너편",4
"건설현장","건설현장",4
"견인","견인",4
"계단으","계단으",4
"공단","공단",4
"공용","공용",4
"과속","과속",4
"굉장","굉장",4
"교묘","교묘",4
"교복","교복",4
"교통량","교통량",4
"교통지도","교통지도",4
"구루마","구루마",4
"구지","구지",4
"굴다리","굴다리",4
"근무","근무",4
"금삼백만원","금삼백만원",4
"기대","기대",4
"나무","나무",4
"내면","내면",4
"노인","노인",4
"노인세대","노인세대",4
"노후","노후",4
"놀이시설","놀이시설",4
"다행","다행",4
"단속카메","단속카메",4
"단축","단축",4
"도저","도저",4
"동생","동생",4
"되어있","되어있",4
"두배","두배",4
"마지막","마지막",4
"만족도","만족도",4
"매립","매립",4
"몇일안키","몇일안키",4
"모래","모래",4
"목욕탕","목욕탕",4
"무리","무리",4
"미비","미비",4
"미화","미화",4
"밀집","밀집",4
"반복","반복",4
"발전","발전",4
"번호판","번호판",4
"법대","법대",4
"변상","변상",4
"보증금","보증금",4
"보호대","보호대",4
"복도","복도",4
"부착","부착",4
"분성마을푸르지","분성마을푸르지",4
"브레이크","브레이크",4
"블랙박스","블랙박스",4
"산타페","산타페",4
"서류","서류",4
"서민","서민",4
"소방법","소방법",4
"소유","소유",4
"수정","수정",4
"스타벅스","스타벅스",4
"스티커","스티커",4
"시도","시도",4
"시행령","시행령",4
"신명","신명",4
"신인","신인",4
"신호위","신호위",4
"신혼","신혼",4
"실정","실정",4
"안내방송","안내방송",4
"알고있","알고있",4
"앞쪽","앞쪽",4
"어두움","어두움",4
"어른","어른",4
"없는거","없는거",4
"엘레베이터","엘레베이터",4
"여자","여자",4
"오고","오고",4
"오른쪽","오른쪽",4
"왜있는거","왜있는거",4
"요지","요지",4
"용어려움","용어려움",4
"웅덩이","웅덩이",4
"위쪽","위쪽",4
"이전","이전",4
"인가","인가",4
"인근","인근",4
"있는거","있는거",4
"잔금","잔금",4
"장치","장치",4
"저속","저속",4
"절대","절대",4
"정성훈씨","정성훈씨",4
"종점","종점",4
"주위","주위",4
"주유소","주유소",4
"주차단속","주차단속",4
"주행","주행",4
"중앙선","중앙선",4
"증축","증축",4
"직장인","직장인",4
"참고","참고",4
"초록","초록",4
"취약","취약",4
"컨테이너","컨테이너",4
"컴퓨터","컴퓨터",4
"탄력","탄력",4
"토지","토지",4
"통행량","통행량",4
"투기","투기",4
"트럭","트럭",4
"파이프","파이프",4
"파일","파일",4
"편의","편의",4
"하자","하자",4
"한가운데","한가운데",4
"한두","한두",4
"한번씩","한번씩",4
"할머니","할머니",4
"행동","행동",4
"향상","향상",4
"현상","현상",4
"화단","화단",4
"화물차","화물차",4
"효과","효과",4
"힘듦","힘듦",4
"led","led",3
"usb","usb",3
"가보","가보",3
"가야","가야",3
"가요","가요",3
"각이","각이",3
"갹출","갹출",3
"거주자","거주자",3
"결정","결정",3
"경비","경비",3
"경주마","경주마",3
"경찰관","경찰관",3
"계도","계도",3
"계획","계획",3
"고깃집앞","고깃집앞",3
"곤충","곤충",3
"공영","공영",3
"공해","공해",3
"교육","교육",3
"교체","교체",3
"국지","국지",3
"규정","규정",3
"그대","그대",3
"근데","근데",3
"근절","근절",3
"급카드","급카드",3
"길이","길이",3
"나라","나라",3
"나왔","나왔",3
"나의","나의",3
"날파리같","날파리같",3
"납부","납부",3
"년cts","년cts",3
"년rx","년rx",3
"년도","년도",3
"녹색","녹색",3
"눈높이","눈높이",3
"느낌","느낌",3
"다리","다리",3
"달라","달라",3
"대가","대가",3
"대변","대변",3
"대소변","대소변",3
"대우이안아파트","대우이안아파트",3
"도시계획","도시계획",3
"동네","동네",3
"동원로얄듀크","동원로얄듀크",3
"동의","동의",3
"두산위브","두산위브",3
"드라마","드라마",3
"드렸","드렸",3
"등교길","등교길",3
"등하교","등하교",3
"띠앗","띠앗",3
"렉서스","렉서스",3
"마트","마트",3
"만더높게해","만더높게해",3
"먼지","먼지",3
"면안될까요","면안될까요",3
"면적","면적",3
"모텔","모텔",3
"물고기","물고기",3
"물이","물이",3
"미관상","미관상",3
"미숙","미숙",3
"반대쪽","반대쪽",3
"방관","방관",3
"방법","방법",3
"방어","방어",3
"백로","백로",3
"버젖","버젖",3
"번호","번호",3
"벌레","벌레",3
"베란다","베란다",3
"보도블록","보도블록",3
"복지","복지",3
"본적있","본적있",3
"볼일","볼일",3
"부대","부대",3
"부모님","부모님",3
"분명","분명",3
"불가","불가",3
"불법유턴","불법유턴",3
"불법주정차단속","불법주정차단속",3
"불안","불안",3
"비가","비가",3
"비단잉어만한","비단잉어만한",3
