"","word","freq"
"불법주정차","불법주정차",206
"외동","외동",176
"차량","차량",158
"주차","주차",157
"도로","도로",90
"장애인","장애인",82
"버스","버스",71
"불편","불편",70
"아파트","아파트",69
"인도","인도",65
"내외","내외",62
"단속","단속",59
"위험","위험",59
"공사","공사",57
"조치","조치",54
"설치","설치",49
"주차장","주차장",49
"불법","불법",44
"위반","위반",42
"거리","거리",41
"안전","안전",37
"교육","교육",35
"차선","차선",34
"피해","피해",33
"상태","상태",32
"통행","통행",32
"신호","신호",29
"개선","개선",28
"전화","전화",28
"영업","영업",27
"진행","진행",27
"한국","한국",27
"배관","배관",26
"오렌지","오렌지",26
"입구","입구",26
"강력","강력",25
"경찰","경찰",23
"공원","공원",23
"보행자","보행자",23
"하수","하수",23
"가게","가게",22
"변경","변경",22
"부산","부산",22
"상가","상가",22
"조합원","조합원",22
"횡단보도","횡단보도",22
"부분","부분",21
"차아파트","차아파트",21
"맞은편","맞은편",20
"세대주","세대주",20
"거주","거주",19
"건물","건물",19
"근처","근처",19
"부과","부과",19
"유실","유실",19
"주정차","주정차",19
"도로가","도로가",18
"매일","매일",18
"입주자","입주자",18
"작업","작업",18
"해결","해결",18
"교차로","교차로",17
"만원","만원",17
"아침","아침",17
"업체","업체",17
"주택","주택",17
"중앙","중앙",17
"거북","거북",16
"당연","당연",16
"번길","번길",16
"벌금","벌금",16
"소리","소리",16
"수고","수고",16
"요구","요구",16
"위협","위협",16
"자격","자격",16
"자영업자","자영업자",16
"조속","조속",16
"좌회전","좌회전",16
"주말","주말",16
"주유","주유",16
"주유소","주유소",16
"주인","주인",16
"회사","회사",16
"계단","계단",15
"관리","관리",15
"내고","내고",15
"담배","담배",15
"베란다","베란다",15
"산책","산책",15
"안내","안내",15
"야간","야간",15
"저녁","저녁",15
"중앙병원","중앙병원",15
"철거","철거",15
"허가","허가",15
"기사","기사",14
"길을","길을",14
"나무","나무",14
"무사고","무사고",14
"방법","방법",14
"불법광고","불법광고",14
"수도","수도",14
"신청","신청",14
"신호등","신호등",14
"신호위반","신호위반",14
"업무","업무",14
"이후","이후",14
"일반","일반",14
"장유","장유",14
"정비","정비",14
"정차","정차",14
"타이어","타이어",14
"판매","판매",14
"걱정","걱정",13
"고의","고의",13
"구역","구역",13
"물이","물이",13
"방치","방치",13
"버스정류장","버스정류장",13
"빌라","빌라",13
"심각","심각",13
"인지","인지",13
"일반차량","일반차량",13
"출근","출근",13
"카메라","카메라",13
"가로수","가로수",12
"방향","방향",12
"보도","보도",12
"세대","세대",12
"엄청","엄청",12
"정상","정상",12
"주위","주위",12
"통보","통보",12
"파서","파서",12
"하루","하루",12
"결과","결과",11
"공동주택","공동주택",11
"금지","금지",11
"도서관","도서관",11
"받았","받았",11
"백화점","백화점",11
"시행","시행",11
"연지공원","연지공원",11
"운전","운전",11
"이전","이전",11
