"","word","freq"
"불법주정차","불법주정차",581
"장애인","장애인",313
"장유","장유",150
"주차","주차",129
"위반","위반",86
"주차장","주차장",85
"부영","부영",79
"능동","능동",57
"차량","차량",57
"율하","율하",45
"구역","구역",43
"불법","불법",42
"비장","비장",42
"아파트","아파트",42
"시능동","시능동",40
"하주","하주",35
"불법광고","불법광고",31
"인도","인도",31
"단속","단속",29
"전용","전용",29
"도로","도로",28
"불편","불편",28
"거리","거리",23
"장애자","장애자",23
"입구","입구",21
"대청","대청",19
"라인","라인",19
"푸르지","푸르지",19
"위험","위험",18
"조치","조치",17
"통행","통행",16
"근처","근처",15
"번길","번길",15
"상습적","상습적",15
"횡단보도","횡단보도",15
"스티커","스티커",14
"건물","건물",13
"센터","센터",13
"이편","이편",13
"부과","부과",11
"삼문","삼문",11
"월산","월산",11
"일반차량","일반차량",11
"풀에버","풀에버",11
"현수막","현수막",11
"과태료","과태료",10
"노점상","노점상",10
"상가","상가",10
"센텀프라자앞","센텀프라자앞",10
"강력","강력",9
"반룡","반룡",9
"장애","장애",9
"장유면","장유면",9
"철거","철거",9
"결과","결과",8
"덕정","덕정",8
"리츠빌","리츠빌",8
"부산","부산",8
"부착","부착",8
"아울렛","아울렛",8
"주차위반","주차위반",8
"처벌","처벌",8
"내덕","내덕",7
"번가","번가",7
"상습","상습",7
"설치","설치",7
"쌍용예","쌍용예",7
"외식","외식",7
"운전","운전",7
"월산마","월산마",7
"중앙하이츠","중앙하이츠",7
"그루","그루",6
"나무","나무",6
"맞은편","맞은편",6
"매일","매일",6
"버스","버스",6
"시부","시부",6
"시정","시정",6
"식재","식재",6
"오전","오전",6
"오후","오후",6
"율하주공","율하주공",6
"주차하","주차하",6
"팔판마","팔판마",6
"표시","표시",6
"갑오","갑오",5
"개선","개선",5
"경마","경마",5
"도배","도배",5
"말고","말고",5
"모아미래","모아미래",5
"바닥","바닥",5
"번째","번째",5
"부곡","부곡",5
"부곡초등학교","부곡초등학교",5
"시가","시가",5
"시경","시경",5
"악취","악취",5
"율현주공","율현주공",5
"자리","자리",5
"장소","장소",5
"장유보건소","장유보건소",5
"전화","전화",5
"진행","진행",5
"차고","차고",5
"차도","차도",5
"차주","차주",5
"트럭","트럭",5
"피해","피해",5
"cu","cu",4
"ic","ic",4
"건널목","건널목",4
"공원","공원",4
"관동","관동",4
"당연","당연",4
"동사무소","동사무소",4
"롯데마트","롯데마트",4
"매연","매연",4
"명진파크뷰","명진파크뷰",4
"방치","방치",4
"방해","방해",4
"방향","방향",4
"벤치","벤치",4
"보수","보수",4
"부동산","부동산",4
