"","word","freq"
"불법주정차","불법주정차",573
"주차","주차",388
"장애인","장애인",339
"차량","차량",296
"도로","도로",223
"단속","단속",193
"아파트","아파트",168
"설치","설치",147
"위반","위반",144
"버스","버스",130
"조치","조치",120
"공사","공사",119
"위험","위험",113
"불편","불편",112
"인도","인도",112
"주차장","주차장",110
"장유","장유",99
"불법","불법",98
"차선","차선",78
"전화","전화",77
"개선","개선",74
"공원","공원",74
"진영","진영",72
"아침","아침",69
"피해","피해",68
"파손","파손",67
"거리","거리",65
"진영읍","진영읍",63
"건물","건물",61
"가로등","가로등",57
"불법광고","불법광고",57
"외동","외동",56
"삼계동","삼계동",55
"횡단보도","횡단보도",54
"육교","육교",53
"부영","부영",52
"오후","오후",52
"보도","보도",50
"부분","부분",49
"안전","안전",49
"통행","통행",49
"철거","철거",48
"보행자","보행자",47
"삼계","삼계",46
"트럭","트럭",46
"쓰레기","쓰레기",45
"나무","나무",44
"오전","오전",44
"율하천","율하천",44
"해결","해결",43
"기사","기사",42
"과태료","과태료",41
"버스정류장","버스정류장",41
"우회전","우회전",41
"입구","입구",41
"주정차","주정차",41
"진행","진행",41
"좌회전","좌회전",40
"저녁","저녁",39
"현장","현장",39
"물상","물상",37
"가게","가게",36
"번길","번길",36
"상태","상태",36
"야간","야간",36
"근처","근처",35
"대청","대청",35
"신호","신호",35
"율하","율하",34
"작업","작업",34
"가로수","가로수",33
"대형","대형",33
"방문","방문",33
"보수","보수",33
"부과","부과",33
"상가","상가",33
"관리","관리",32
"주위","주위",32
"계약","계약",31
"높이","높이",31
"대형차","대형차",31
"승객","승객",31
"이동","이동",31
"정비","정비",31
"정차","정차",31
"허가","허가",31
"고가","고가",30
"구역","구역",30
"내동","내동",30
"도로가","도로가",30
"매일","매일",30
"방향","방향",30
"상습적","상습적",30
"정확","정확",30
"신청","신청",29
"이전","이전",29
"차도","차도",29
"판단","판단",29
"하주","하주",29
"환경","환경",29
"김밥","김밥",28
"남자","남자",28
"시작","시작",28
"운전","운전",28
"카메라","카메라",28
"하루","하루",28
"cctv","cctv",27
"거주","거주",27
"무단","무단",27
"토지","토지",27
"바닥","바닥",26
"새벽","새벽",26
"영업","영업",26
"운행","운행",26
"입주자","입주자",26
"주말","주말",26
"주차하","주차하",26
"주택","주택",26
"직진","직진",26
"학생","학생",26
"강력","강력",25
"물이","물이",25
