"","word","freq"
"불법주정차","불법주정차",98
"장애인","장애인",47
"삼계동","삼계동",35
"주차","주차",28
"삼계","삼계",23
"오피스텔","오피스텔",16
"블루","블루",11
"차량","차량",11
"아파트","아파트",10
"단속","단속",9
"불편","불편",7
"세대","세대",7
"위험","위험",7
"인도","인도",7
"주차장","주차장",7
"위반","위반",6
"체육","체육",6
"해동","해동",6
"부영","부영",5
"조치","조치",5
"구역","구역",4
"근처","근처",4
"동생","동생",4
"맞은편","맞은편",4
"보도","보도",4
"상습","상습",4
"스티커","스티커",4
"신호위반","신호위반",4
"오르막길","오르막길",4
"장애","장애",4
"주행","주행",4
"차선","차선",4
"촬영","촬영",4
"파크","파크",4
"간판","간판",3
"갹출","갹출",3
"거주자","거주자",3
"건물","건물",3
"경찰관","경찰관",3
"납부","납부",3
"놀이터","놀이터",3
"농협","농협",3
"대우푸르지","대우푸르지",3
"마찬","마찬",3
"마트","마트",3
"분성","분성",3
"불법광고","불법광고",3
"세우","세우",3
"시설물","시설물",3
"신설","신설",3
"음주측정","음주측정",3
"전용","전용",3
"좌석","좌석",3
"차량번호","차량번호",3
"축산","축산",3
"화물차","화물차",3
"횡단보도","횡단보도",3
"갯길","갯길",2
"거리","거리",2
"거주","거주",2
"게조한것","게조한것",2
"결과","결과",2
"계좌","계좌",2
"공용","공용",2
"공원묘지","공원묘지",2
"과적","과적",2
"굉장","굉장",2
"구성","구성",2
"기는곳","기는곳",2
"놀이기구","놀이기구",2
"동료","동료",2
"띠앗","띠앗",2
"만원","만원",2
"매일","매일",2
"물이","물이",2
"미끄럽","미끄럽",2
"방문","방문",2
"보행자","보행자",2
"부착","부착",2
"분노","분노",2
"분성마을푸르지","분성마을푸르지",2
"분양","분양",2
"불법","불법",2
"블럭","블럭",2
"비가","비가",2
"살고","살고",2
"스타벅스","스타벅스",2
"어린이","어린이",2
"언덕","언덕",2
"업무","업무",2
"왼쪽","왼쪽",2
"웅덩이","웅덩이",2
"이동","이동",2
"입구","입구",2
"입주자","입주자",2
"있는곳","있는곳",2
"잔액","잔액",2
"정말","정말",2
"정확","정확",2
"중부경찰서","중부경찰서",2
"진노란색","진노란색",2
"진영","진영",2
"짐칸","짐칸",2
"초등학교","초등학교",2
"측정","측정",2
"타워","타워",2
"탑마트","탑마트",2
"테투리","테투리",2
"평평","평평",2
"표시","표시",2
