"","word","freq"
"외동","외동",53
"불법주정차","불법주정차",42
"주차","주차",34
"차량","차량",22
"도로","도로",18
"장애인","장애인",18
"단속","단속",16
"공사","공사",15
"공원","공원",14
"설치","설치",14
"위반","위반",14
"아파트","아파트",12
"오렌지","오렌지",11
"위험","위험",11
"나무","나무",10
"부동산","부동산",10
"불편","불편",10
"세대주","세대주",10
"거리","거리",9
"버스","버스",9
"인도","인도",9
"주차장","주차장",9
"거주자","거주자",8
"내외","내외",8
"부산","부산",8
"상태","상태",8
"아침","아침",8
"입구","입구",8
"조치","조치",8
"가로등","가로등",7
"동성","동성",7
"살고","살고",7
"요구","요구",7
"자동차","자동차",7
"주공아파트","주공아파트",7
"파랑","파랑",7
"가로수","가로수",6
"겨울","겨울",6
"공영주차장","공영주차장",6
"관리비","관리비",6
"근처","근처",6
"대형트럭","대형트럭",6
"베란다","베란다",6
"불법","불법",6
"이사","이사",6
"이후","이후",6
"일반차량","일반차량",6
"임대차","임대차",6
"전화","전화",6
"정상","정상",6
"주말","주말",6
"해결","해결",6
"경찰","경찰",5
"내고","내고",5
"만원","만원",5
"밤에","밤에",5
"배우자","배우자",5
"시행","시행",5
"야간","야간",5
"주차하","주차하",5
"집전","집전",5
"창원","창원",5
"채권","채권",5
"치료","치료",5
"피해","피해",5
"한국","한국",5
"항의","항의",5
"현거","현거",5
"화단","화단",5
"가족","가족",4
"거주","거주",4
"경찰청장","경찰청장",4
"계약서","계약서",4
"관리사무소","관리사무소",4
"근데","근데",4
"노점","노점",4
"누수","누수",4
"동생","동생",4
"매일","매일",4
"방문","방문",4
"버스정류장","버스정류장",4
"산책","산책",4
"수면","수면",4
"시작","시작",4
"심정","심정",4
"아무","아무",4
"어제","어제",4
"업소","업소",4
"운전수","운전수",4
"이력","이력",4
"입주","입주",4
"장신대","장신대",4
"재외","재외",4
"전입","전입",4
"정지","정지",4
"조속","조속",4
"주차료","주차료",4
"집주인","집주인",4
"포상","포상",4
"한번씩","한번씩",4
"강력","강력",3
"거북","거북",3
"건물","건물",3
"공과금","공과금",3
"광고","광고",3
"교체","교체",3
"국내","국내",3
"길을","길을",3
"노면","노면",3
"높이","높이",3
"답답","답답",3
"대동아","대동아",3
"독거","독거",3
"레일","레일",3
"모던","모던",3
"미납","미납",3
"반응","반응",3
"번호","번호",3
"벤치","벤치",3
"보건소","보건소",3
"보수","보수",3
"복합","복합",3
"부당","부당",3
"불안","불안",3
"비슷","비슷",3
"비용","비용",3
"살고있","살고있",3
"삼정","삼정",3
"상식적","상식적",3
"서광","서광",3
"서민","서민",3
"선불","선불",3
"신호","신호",3
"아시","아시",3
"연지공원","연지공원",3
"운동","운동",3
"운전","운전",3
"으름장","으름장",3
"음식","음식",3
"이동","이동",3
"인근","인근",3
"일체","일체",3
"전세","전세",3
"정신","정신",3
"정차","정차",3
"조사","조사",3
"주차단속","주차단속",3
"중앙병원","중앙병원",3
"집안","집안",3
"차선","차선",3
"층주","층주",3
"타운","타운",3
"하자보수","하자보수",3
"하주","하주",3
"학교","학교",3
"학생","학생",3
"형식","형식",3
"환경","환경",3
"환승","환승",3
"후면","후면",3
"흙먼지","흙먼지",3
"cctv","cctv",2
"focu","focu",2
"kei","kei",2
"php","php",2
"view","view",2
"가게","가게",2
"가보","가보",2
"가야마트","가야마트",2
"감소","감소",2
"강문옥","강문옥",2
"강아지","강아지",2
"개선","개선",2
"개인","개인",2
"개인적","개인적",2
"거인","거인",2
"게약서내","게약서내",2
"경찰의","경찰의",2
"계산","계산",2
"고통","고통",2
"곡각지","곡각지",2
"공인중개사","공인중개사",2
"관계","관계",2
"관리소","관리소",2
"광고물","광고물",2
"광고판","광고판",2
"권익보호","권익보호",2
"귀국","귀국",2
"균열","균열",2
"그날","그날",2
"글짓기","글짓기",2
"금액","금액",2
"금요일","금요일",2
"기관","기관",2
"기사","기사",2
"기초","기초",2
"긴상태","긴상태",2
"길이","길이",2
"깜짝놀래","깜짝놀래",2
"나기","나기",2
"난방","난방",2
"난방비","난방비",2
"날씨","날씨",2
"날파","날파",2
"남구","남구",2
"남동생","남동생",2
"남매","남매",2
"남편의주소","남편의주소",2
"납부","납부",2
"년가까","년가까",2
"년가까운","년가까운",2
"년넘게된것","년넘게된것",2
"년도","년도",2
"노점상","노점상",2
"농구대","농구대",2
"누수및","누수및",2
"다시가봤는데","다시가봤는데",2
"다툼","다툼",2
"단속한번","단속한번",2
"대가","대가",2
"대낮","대낮",2
"대리인","대리인",2
"대차","대차",2
"도망쳤","도망쳤",2
"돌려달","돌려달",2
"동물","동물",2
"동아","동아",2
"동아아파트","동아아파트",2
"되기","되기",2
"두배","두배",2
"뒤로가","뒤로가",2
"뒷받침","뒷받침",2
"등교","등교",2
"등기부등본","등기부등본",2
"뚜겅","뚜겅",2
"뜨란채","뜨란채",2
"만남","만남",2
"맞은편","맞은편",2
"맨홀","맨홀",2
"머리끄댕","머리끄댕",2
"멱살","멱살",2
"못받아준다","못받아준다",2
"무단횡단","무단횡단",2
"무소","무소",2
"무시","무시",2
"물리적","물리적",2
"물이","물이",2
"뭔지","뭔지",2
"미리애","미리애",2
"바닥","바닥",2
"받고싶","받고싶",2
"받고있","받고있",2
"받았","받았",2
"방면","방면",2
"방역","방역",2
"방지","방지",2
"방치","방치",2
"방해","방해",2
"방향","방향",2
"배수구","배수구",2
"백화점","백화점",2
"버스기사","버스기사",2
"버젓","버젓",2
"번호판","번호판",2
"벌금","벌금",2
"법데","법데",2
"변경해달","변경해달",2
"별로없더","별로없더",2
"병원","병원",2
"보관","보관",2
"보기","보기",2
"보도","보도",2
"보일러","보일러",2
"보장","보장",2
"보증금","보증금",2
"보통","보통",2
"본국","본국",2
"볼일","볼일",2
"부당한청구","부당한청구",2
"부분","부분",2
"부하","부하",2
"분명","분명",2
"분통","분통",2
"불빛","불빛",2
"비가좀온탓","비가좀온탓",2
"비상계단","비상계단",2
"비자","비자",2
"빠른조치","빠른조치",2
"사고","사고",2
"사오","사오",2
"사한","사한",2
"살기","살기",2
"상담","상담",2
"상식","상식",2
"색오솔길","색오솔길",2
"설명서","설명서",2
"성방가하","성방가하",2
"세대","세대",2
"소리","소리",2
"소방도로","소방도로",2
"소재","소재",2
"수도","수도",2
"수면및","수면및",2
"수여","수여",2
"수준","수준",2
"수차례","수차례",2
"순찰차","순찰차",2
"시이","시이",2
"식재","식재",2
"신청","신청",2
"실세대거주","실세대거주",2
"심각","심각",2
"심해","심해",2
"싶지않","싶지않",2
"아무죄","아무죄",2
"안내","안내",2
"안락","안락",2
"안전","안전",2
"암튼","암튼",2
"앞자리","앞자리",2
"어르신","어르신",2
"어른","어른",2
"엄청많","엄청많",2
"엄청많은겁니","엄청많은겁니",2
"업무","업무",2
"엘리베이터","엘리베이터",2
"여권","여권",2
"여려차례","여려차례",2
"여름방학","여름방학",2
"여름철","여름철",2
"연체","연체",2
"영수증","영수증",2
"예방","예방",2
"예은어린이집","예은어린이집",2
"예은어린이집앞","예은어린이집앞",2
"오래전","오래전",2
"오복","오복",2
"오솔길","오솔길",2
"오후","오후",2
"왜요","왜요",2
"외출","외출",2
"요주","요주",2
"우울증","우울증",2
"울산시","울산시",2
"월세및","월세및",2
"위생과","위생과",2
"유리","유리",2
"유성빌리","유성빌리",2
"음주","음주",2
"음주및","음주및",2
"의식","의식",2
"이거","이거",2
"이름","이름",2
"이모든것","이모든것",2
"이벌레","이벌레",2
"이웃간","이웃간",2
"이전","이전",2
"이중","이중",2
"이집","이집",2
"일주일","일주일",2
"임대인","임대인",2
"임대차계약","임대차계약",2
"임차인","임차인",2
"있긴있드","있긴있드",2
"있는걸","있는걸",2
"자리","자리",2
"자체","자체",2
"잘못","잘못",2
"장기","장기",2
"장유","장유",2
"재발급","재발급",2
"재정비","재정비",2
"저녁","저녁",2
"저녁에요","저녁에요",2
"적절","적절",2
"전각","전각",2
"전기","전기",2
"전지","전지",2
"절실","절실",2
"점령","점령",2
"정비","정비",2
"정산","정산",2
"정선호","정선호",2
"정영미","정영미",2
"정작","정작",2
"정확","정확",2
"조성","조성",2
"조용","조용",2
"조취","조취",2
"조취하","조취하",2
"조회","조회",2
"좋겠","좋겠",2
"주거","주거",2
"주거지","주거지",2
"주상","주상",2
"주위","주위",2
"주차해놓더","주차해놓더",2
"주택","주택",2
"죽은거","죽은거",2
"준공","준공",2
"중간부분","중간부분",2
"중개","중개",2
"중개업자","중개업자",2
"중개업자역시","중개업자역시",2
"중앙선","중앙선",2
"중이","중이",2
"증가","증가",2
"증거","증거",2
"증축","증축",2
"지하","지하",2
"지항목별","지항목별",2
"직진","직진",2
"진동","진동",2
"진드기","진드기",2
"진행","진행",2
"처벌","처벌",2
"청소년","청소년",2
"체류","체류",2
"체육공원","체육공원",2
"체육시설","체육시설",2
"초보","초보",2
"최우수상","최우수상",2
"추간판","추간판",2
"출근","출근",2
"친동생","친동생",2
"친척","친척",2
"커서","커서",2
"큰길","큰길",2
"큰사","큰사",2
"타지","타지",2
"토사","토사",2
"토요일","토요일",2
"토일","토일",2
"통행","통행",2
"편안","편안",2
"평일","평일",2
"하이카","하이카",2
"하자","하자",2
"하차","하차",2
"함박","함박",2
"해야할거같","해야할거같",2
"행위","행위",2
"헤루니","헤루니",2
"현수막","현수막",2
"혜아","혜아",2
"활권보장","활권보장",2
"흔적","흔적",2
"km","km",1
"led","led",1
"lg","lg",1
"가는길","가는길",1
"가동","가동",1
"가로","가로",1
"가야초등학교","가야초등학교",1
"가이드","가이드",1
"가출","가출",1
"각이","각이",1
"각해","각해",1
"간은","간은",1
"감해간","감해간",1
"갔다하","갔다하",1
"강력대응","강력대응",1
"강풍","강풍",1
"강행","강행",1
"같구요","같구요",1
"갚을능력","갚을능력",1
"개의","개의",1
"개인사","개인사",1
"개탄","개탄",1
"거기","거기",1
"거대","거대",1
"거절","거절",1
"거주지","거주지",1
"걱정","걱정",1
"건너","건너",1
"건설","건설",1
"검사","검사",1
"검정고시","검정고시",1
"겁이납니","겁이납니",1
"겠지요","겠지요",1
"격고있","격고있",1
"겪고있","겪고있",1
"겪었","겪었",1
"경리","경리",1
"경보","경보",1
"경추","경추",1
"계단","계단",1
"계실","계실",1
"계약","계약",1
"계획","계획",1
"고날뻔한","고날뻔한",1
"고도","고도",1
"고시","고시",1
"고위험","고위험",1
"골다공증","골다공증",1
"공고","공고",1
"공고란","공고란",1
"공사장","공사장",1
"공터","공터",1
"과실","과실",1
"과태료","과태료",1
"관광","관광",1
"관광객","관광객",1
"관리감독","관리감독",1
"관리실","관리실",1
"관할지","관할지",1
"관해","관해",1
"광역","광역",1
"교복","교복",1
"교통비","교통비",1
"교통사고","교통사고",1
"교통서비스","교통서비스",1
"교통카드","교통카드",1
"구간","구간",1
"구분","구분",1
"구역","구역",1
"국졸","국졸",1
"권리","권리",1
"귀시","귀시",1
"규격","규격",1
"그나라의비","그나라의비",1
"그런네요","그런네요",1
"그루","그루",1
"그빛","그빛",1
"그전","그전",1
"그증거","그증거",1
"근본적","근본적",1
"급커브","급커브",1
"기계","기계",1
"기계가동은오전","기계가동은오전",1
"기능도","기능도",1
"기대","기대",1
"기동","기동",1
"기만","기만",1
"기바라오","기바라오",1
"기본적","기본적",1
"기분","기분",1
"기업","기업",1
"기전","기전",1
"기한","기한",1
"긴글","긴글",1
"길목","길목",1
"김의동","김의동",1
"깨끗","깨끗",1
"꺼진부분","꺼진부분",1
"꼭사","꼭사",1
"끝날","끝날",1
"나가는걸","나가는걸",1
"나무사이","나무사이",1
"나오셔","나오셔",1
"나온상태","나온상태",1
"나이","나이",1
"날시","날시",1
"남바","남바",1
"남아","남아",1
"내리지마","내리지마",1
"내분비","내분비",1
"내야","내야",1
"내역","내역",1
"내외신","내외신",1
"너무많아","너무많아",1
"너무밝아","너무밝아",1
"너무위험","너무위험",1
"넘었","넘었",1
"넥타이","넥타이",1
"년넘","년넘",1
"노고","노고",1
"노랗","노랗",1
"농구","농구",1
"농사","농사",1
"농업기술센터","농업기술센터",1
"누군가","누군가",1
"뉴스","뉴스",1
"느낌","느낌",1
"는데요","는데요",1
"늦은밤","늦은밤",1
"다님","다님",1
"다들","다들",1
"다목적","다목적",1
"다행","다행",1
"단독주택","단독주택",1
"단속과","단속과",1
"단수","단수",1
"단한","단한",1
"당연","당연",1
"당황","당황",1
"대가로받","대가로받",1
"대각","대각",1
"대동","대동",1
"대로변","대로변",1
"대상","대상",1
"대상포진및","대상포진및",1
"대중교통","대중교통",1
"대책","대책",1
"대형사고","대형사고",1
"던지요","던지요",1
"도난","도난",1
"도로가","도로가",1
"도로변","도로변",1
"도로포장","도로포장",1
"도무","도무",1
"도시발전","도시발전",1
"동네","동네",1
"동일","동일",1
"되는거","되는거",1
"되지않았","되지않았",1
"두려움","두려움",1
"두산위브아파트","두산위브아파트",1
"두차량","두차량",1
"두통","두통",1
"뒤쪽","뒤쪽",1
"뒷길","뒷길",1
"뒷부분","뒷부분",1
"드리오","드리오",1
"들숙날숙한","들숙날숙한",1
"등본","등본",1
"디지털","디지털",1
"따르고있","따르고있",1
"땅을찾아","땅을찾아",1
"라는곳","라는곳",1
"라바콘","라바콘",1
"라져","라져",1
"라지","라지",1
"런한","런한",1
"레미콘","레미콘",1
"렉카","렉카",1
"려하","려하",1
"렸는데","렸는데",1
"로드","로드",1
"료됩니","료됩니",1
"리겠","리겠",1
"마찬","마찬",1
"마쳤","마쳤",1
"마트","마트",1
"만나지마","만나지마",1
"많았","많았",1
"많이보","많이보",1
"많이했는데","많이했는데",1
"말투","말투",1
"말했","말했",1
"매달","매달",1
"매립","매립",1
"매연","매연",1
"매입","매입",1
"맥도날드앞도","맥도날드앞도",1
"머리","머리",1
"머리털","머리털",1
"먹자골목","먹자골목",1
"먼저째","먼저째",1
"면참조","면참조",1
"몇개지","몇개지",1
"모든것","모든것",1
"모르겠","모르겠",1
"목소리","목소리",1
"목숨","목숨",1
"몰아","몰아",1
"못올라","못올라",1
"못짓는다","못짓는다",1
"못했","못했",1
"무궁","무궁",1
"무단","무단",1
"무료","무료",1
"무리","무리",1
"무법천지","무법천지",1
"무지한","무지한",1
"문도","문도",1
"문짝파손및","문짝파손및",1
"문한","문한",1
"문화","문화",1
"물건","물건",1
"뭐가당당","뭐가당당",1
"미관상","미관상",1
"미부착","미부착",1
"바쁘시겠","바쁘시겠",1
"반복","반복",1
"반영","반영",1
"받을길","받을길",1
"받지못하는상태","받지못하는상태",1
"방범","방범",1
"방법","방법",1
"방세","방세",1
"방송","방송",1
"방안","방안",1
"배문","배문",1
"배민","배민",1
"버려져있","버려져있",1
"버스정류소","버스정류소",1
"버스회사","버스회사",1
"버팀목","버팀목",1
"번게이트","번게이트",1
"번만","번만",1
"번버스","번버스",1
"번째","번째",1
"번호판미부착","번호판미부착",1
"벌금먹여","벌금먹여",1
"범위","범위",1
"법데로하","법데로하",1
"법률구조공단","법률구조공단",1
"법원","법원",1
"법적기준","법적기준",1
"벤츠","벤츠",1
"벼룩","벼룩",1
"별도","별도",1
"병명","병명",1
"병원장","병원장",1
"보개","보개",1
"보건소바향","보건소바향",1
"보금자리","보금자리",1
"보시","보시",1
"보유","보유",1
"보행","보행",1
"보행자","보행자",1
"복용","복용",1
"본론","본론",1
"봉명","봉명",1
"봉사활동","봉사활동",1
"부과","부과",1
"부득이","부득이",1
"부산지하철","부산지하철",1
"부상병","부상병",1
"불량","불량",1
"불법광고","불법광고",1
"불법아닌가요","불법아닌가요",1
"불철주야","불철주야",1
"불쾌","불쾌",1
"불투명","불투명",1
"불하","불하",1
"붕괴","붕괴",1
"붕괴위험","붕괴위험",1
"블록","블록",1
"비가","비가",1
"비싸구요","비싸구요",1
"비오는날","비오는날",1
"비젼","비젼",1
"빛공","빛공",1
"빛공해","빛공해",1
"빠른시","빠른시",1
"뿌리","뿌리",1
"뿌리째","뿌리째",1
"살아왔","살아왔",1
"삼거리","삼거리",1
"삼계","삼계",1
"삼계동","삼계동",1
"상가","상가",1
"상권","상권",1
"상담및약처방","상담및약처방",1
"상상","상상",1
"상업","상업",1
"상차","상차",1
"새여권","새여권",1
"새우","새우",1
"색오솔기","색오솔기",1
"생많으","생많으",1
"서비스","서비스",1
"서울경기권","서울경기권",1
"설렘","설렘",1
"설치방법","설치방법",1
"성인","성인",1
"센타","센타",1
"센텀q시티","센텀q시티",1
"소득","소득",1
"소득자체","소득자체",1
"소속","소속",1
"소유","소유",1
"소중","소중",1
"속버스","속버스",1
"손잡이","손잡이",1
"수고많","수고많",1
"수고스러우스겠","수고스러우스겠",1
"수군수군하","수군수군하",1
"순간","순간",1
"순경","순경",1
"쉬어","쉬어",1
"스란","스란",1
"스트레스","스트레스",1
"시가","시가",1
"시공사","시공사",1
"시끄러워죽겠","시끄러워죽겠",1
"시내","시내",1
"시도","시도",1
"시동","시동",1
"시설인가","시설인가",1
"시외","시외",1
"시외버스터미널","시외버스터미널",1
"시일","시일",1
"시작했","시작했",1
"시점","시점",1
"시정","시정",1
"식당","식당",1
"신경정신과","신경정신과",1
"신경질섞","신경질섞",1
"신용","신용",1
"신용상태","신용상태",1
"신청을할떄","신청을할떄",1
"신축","신축",1
"신협","신협",1
"신호대기","신호대기",1
"신호등","신호등",1
"신호위반","신호위반",1
"실망","실망",1
"실선","실선",1
"실정","실정",1
"심야","심야",1
"싹수","싹수",1
"쌍욕","쌍욕",1
"썬팅광","썬팅광",1
"쓰레","쓰레",1
"쓰레기","쓰레기",1
"쓸려가겠","쓸려가겠",1
"아동","아동",1
"아동키높","아동키높",1
"아성","아성",1
"아시다싶","아시다싶",1
"아찔","아찔",1
"아파트관리","아파트관리",1
"아픔니","아픔니",1
"안되","안되",1
"안된다는걸","안된다는걸",1
"안좋","안좋",1
"안하","안하",1
"안하는거","안하는거",1
"않겠","않겠",1
"않좋","않좋",1
"알고있","알고있",1
"암막커튼을","암막커튼을",1
"압류","압류",1
"압류하여빼","압류하여빼",1
"앞면","앞면",1
"앞문","앞문",1
"애드벌룬","애드벌룬",1
"약속","약속",1
"양쪽","양쪽",1
"어느시점","어느시점",1
"어둡","어둡",1
"어딘지","어딘지",1
"어렵","어렵",1
"어방동","어방동",1
"어지러움","어지러움",1
"어처구니","어처구니",1
"억압","억압",1
"얼굴","얼굴",1
"업무협약","업무협약",1
"업자","업자",1
"없네","없네",1
"없으신지요","없으신지요",1
"엉성","엉성",1
"에불편","에불편",1
"엠프","엠프",1
"여년","여년",1
"여름","여름",1
"역아닙니까","역아닙니까",1
"연장","연장",1
"연조직염","연조직염",1
"열수","열수",1
"열지","열지",1
"영향","영향",1
"예산","예산",1
"예산낭비","예산낭비",1
"예전","예전",1
"오랜지타운","오랜지타운",1
"오르막길이있","오르막길이있",1
"오전","오전",1
"오죽","오죽",1
"오지","오지",1
"오픈","오픈",1
"올리오","올리오",1
"올봄","올봄",1
"와우","와우",1
"완공","완공",1
"완전","완전",1
"외교","외교",1
"외국과거래","외국과거래",1
"외국인","외국인",1
"외동축협","외동축협",1
