"","word","freq"
"불법주정차","불법주정차",130
"장애인","장애인",68
"부영","부영",29
"장유","장유",25
"주차","주차",24
"주차장","주차장",16
"시능동","시능동",14
"불법광고","불법광고",13
"위반","위반",13
"차량","차량",13
"불법","불법",12
"아파트","아파트",12
"전용","전용",12
"구역","구역",11
"율하","율하",11
"인도","인도",9
"능동","능동",8
"거리","거리",7
"단속","단속",7
"대청","대청",7
"비장","비장",7
"푸르지","푸르지",7
"하주","하주",6
"노점상","노점상",5
"부과","부과",5
"불편","불편",5
"조치","조치",5
"횡단보도","횡단보도",5
"강력","강력",4
"도로","도로",4
"라인","라인",4
"부동산","부동산",4
"부착","부착",4
"상습적","상습적",4
"시정","시정",4
"신호","신호",4
"월산마","월산마",4
"장애","장애",4
"저지","저지",4
"조사","조사",4
"팔판마","팔판마",4
"현수막","현수막",4
"cu","cu",3
"과태료","과태료",3
"구조물","구조물",3
"근처","근처",3
"보행","보행",3
"부곡초등학교","부곡초등학교",3
"비보","비보",3
"스티커","스티커",3
"시부","시부",3
"안전","안전",3
"양이","양이",3
"어린이","어린이",3
"월산","월산",3
"주공","주공",3
"주말","주말",3
"주차위반","주차위반",3
"차로","차로",3
"철거","철거",3
"통행","통행",3
"건널목","건널목",2
"공인중개사","공인중개사",2
"공터","공터",2
"관동","관동",2
"광고","광고",2
"누락","누락",2
"당연","당연",2
"대표자","대표자",2
"덕정","덕정",2
"동원","동원",2
"등이","등이",2
"로얄듀크","로얄듀크",2
"먹이","먹이",2
"명진파크뷰","명진파크뷰",2
"무소","무소",2
"무차별적","무차별적",2
"미관","미관",2
"반룡","반룡",2
"반복","반복",2
"버스","버스",2
"번가","번가",2
"번길","번길",2
"번째","번째",2
"삼문","삼문",2
"상가","상가",2
"센터","센터",2
"센텀프라자앞","센텀프라자앞",2
"수목","수목",2
"수시","수시",2
"시덕정","시덕정",2
"시정조치","시정조치",2
"쓰레기","쓰레기",2
"아울렛","아울렛",2
"앞도","앞도",2
"엔젤리너스앞","엔젤리너스앞",2
"옥외광고","옥외광고",2
"와이어","와이어",2
"외식","외식",2
"우회전","우회전",2
"율곡","율곡",2
"율하주공","율하주공",2
"율하천","율하천",2
"이편한세상","이편한세상",2
"인근","인근",2
"입구","입구",2
"자리","자리",2
"장유면","장유면",2
"장유보건소","장유보건소",2
"전봇대","전봇대",2
"전화번호","전화번호",2
"조정","조정",2
"지대","지대",2
"진촬영","진촬영",2
"집행","집행",2
"표시","표시",2
"표지판","표지판",2
"해서","해서",2
"가리","가리",1
"갑오","갑오",1
"갑오주공","갑오주공",1
"강서구","강서구",1
"거동이불편하","거동이불편하",1
"거주","거주",1
"건너편","건너편",1
"검정색","검정색",1
"경부","경부",1
"계속보낼께요","계속보낼께요",1
"고싶네요","고싶네요",1
"공사","공사",1
"공지","공지",1
"광고물","광고물",1
"교회","교회",1
"구지","구지",1
"균열","균열",1
"그렇다손","그렇다손",1
"그렌저","그렌저",1
"그자리","그자리",1
"극성","극성",1
"근절","근절",1
"글쓰기","글쓰기",1
"내리고","내리고",1
"넘보기싫어요","넘보기싫어요",1
"놀이터","놀이터",1
"농협","농협",1
"높이","높이",1
"다니는곳","다니는곳",1
"다스","다스",1
"단속대상","단속대상",1
"달라","달라",1
"대로","대로",1
"대로변","대로변",1
"대지","대지",1
"데크","데크",1
"도배","도배",1
"동우빌딩","동우빌딩",1
"동원로얄듀크","동원로얄듀크",1
"뒤쪽","뒤쪽",1
"뒷편","뒷편",1
"등하원시","등하원시",1
"롯데마트","롯데마트",1
"말고","말고",1
"맞은편","맞은편",1
"매여있","매여있",1
"매일","매일",1
"몇번했는데","몇번했는데",1
"무개념","무개념",1
"바닥","바닥",1
"반대편","반대편",1
"발판","발판",1
"밤사","밤사",1
"방지","방지",1
"방치","방치",1
"방해","방해",1
"방해가됩니","방해가됩니",1
"배설물","배설물",1
"백년","백년",1
"버스정류소","버스정류소",1
"버젓","버젓",1
"벌어졌","벌어졌",1
"보기","보기",1
"보수","보수",1
"보호구역","보호구역",1
"보호받","보호받",1
"보호자","보호자",1
"부곡","부곡",1
"부분","부분",1
"부산강서구","부산강서구",1
"부산시","부산시",1
"부스","부스",1
"부실","부실",1
"부영e그","부영e그",1
"부영아파드","부영아파드",1
"부영이","부영이",1
"분리","분리",1
"불법쓰레기","불법쓰레기",1
"불법주정차하","불법주정차하",1
"붕어","붕어",1
"붙여넣기식","붙여넣기식",1
"비슷","비슷",1
"비젼","비젼",1
"비치","비치",1
"빌딩","빌딩",1
"뿌리","뿌리",1
"상태","상태",1
"생많으","생많으",1
"석봉","석봉",1
"석봉초","석봉초",1
"설치","설치",1
"세븐일레븐","세븐일레븐",1
