"","키워드","연결중심성","근접중심성","매개중심성","위세중심성"
"1","불법주정차",19,0.0013531799729364,0,1
"2","주차",19,0.00111482720178372,0,0.779527864103354
"3","차량",19,0.000769822940723634,0,0.615049822492023
"4","아파트",19,0.00120336943441637,0,0.322805585165504
"5","단속",19,0.00116144018583043,0,0.312369449048843
"6","위반",19,0.00178571428571429,0,0.378511647566762
"7","설치",19,0.0019047619047619,0,0.173065662616203
"8","주차장",19,0.00209205020920502,11,0.408412271661015
"9","조치",19,0.00125,0,0.197378323490387
"10","인도",19,0.00217864923747277,45,0.180514061769443
"11","장유",19,0.00166389351081531,0,0.192698073926957
"12","불편",19,0.00117647058823529,0,0.214611725136806
"13","불법",19,0.00199600798403194,0.5,0.154919324757163
"14","위험",19,0.00204498977505112,0,0.210552518773054
"15","진영",19,0.0018796992481203,14.5,0.144431093230301
"16","도로",18,0.000738552437223043,0,0.312508296361415
"17","공사",18,0.00213219616204691,34,0.0923718542228818
"18","버스",18,0.00245700245700246,87,0.076383283202672
"19","거리",18,0.00182149362477231,1,0.105463184865862
"20","장애인",15,0.00212314225053079,36,0.875032113977923
