"","word","freq"
"불법주정차","불법주정차",1755
"도로","도로",1163
"주차","주차",956
"차량","차량",823
"장애인","장애인",809
"단속","단속",428
"아파트","아파트",419
"위반","위반",365
"공사","공사",343
"설치","설치",337
"인도","인도",333
"위험","위험",318
"조치","조치",300
"불편","불편",297
"장유","장유",283
"주차장","주차장",248
"삼문","삼문",235
"불법","불법",234
"버스","버스",228
"차선","차선",225
"통행","통행",214
"진영","진영",186
"거리","거리",172
"횡단보도","횡단보도",167
"안전","안전",165
"도로가","도로가",153
"진영읍","진영읍",153
"건물","건물",150
"삼계동","삼계동",140
"좌회전","좌회전",139
"파손","파손",132
"신호","신호",131
"진행","진행",123
"개선","개선",121
"입구","입구",121
"불법광고","불법광고",120
"보행자","보행자",119
"정차","정차",118
"부영","부영",117
"아침","아침",115
"피해","피해",114
"능동","능동",112
"번길","번길",112
"과태료","과태료",111
"물상","물상",111
"외동","외동",107
"직진","직진",102
"진입","진입",102
"부분","부분",98
"작업","작업",97
"전화","전화",97
"해결","해결",96
"주정차","주정차",94
"트럭","트럭",92
"구역","구역",91
"나무","나무",91
"차로","차로",90
"하주","하주",87
"방향","방향",86
"상태","상태",86
"보도","보도",85
"야간","야간",85
"삼계","삼계",83
"우회전","우회전",83
"오전","오전",82
"현장","현장",82
"오후","오후",81
"리츠빌","리츠빌",80
"쓰레기","쓰레기",79
"소리","소리",78
"율하","율하",78
"카메라","카메라",78
"공원","공원",77
"운행","운행",77
"가로등","가로등",76
"위협","위협",76
"버스정류장","버스정류장",75
"저녁","저녁",75
"대형","대형",74
"토지","토지",74
"맞은편","맞은편",72
"신설","신설",72
"창문","창문",72
"철거","철거",72
"과속","과속",71
"상차","상차",71
"이동","이동",71
"전용","전용",71
"강력","강력",69
"내동","내동",69
"운전","운전",68
"주차하","주차하",68
"매일","매일",67
"시설물","시설물",67
"출근","출근",67
"가게","가게",66
"라인","라인",66
"허가","허가",66
"근처","근처",65
"부과","부과",65
"상가","상가",65
"측정","측정",65
"고가","고가",63
"대청","대청",63
"변경","변경",63
"출퇴근","출퇴근",63
"화물차","화물차",63
"공공","공공",62
"도로변","도로변",62
"방치","방치",62
"정문","정문",62
"해반천","해반천",61
"육교","육교",60
"자전거","자전거",60
"중앙선","중앙선",60
"표지판","표지판",60
"학생","학생",60
"심각","심각",59
"이전","이전",59
"봉황","봉황",58
"신호위반","신호위반",58
"업무","업무",58
