"","Var1","Freq"
"13","내용없음",332
"40","삼계동",269
"10","내동",253
"78","장유면",234
"85","진영리",231
"65","외동",229
"7","구산동",108
"35","부원동",102
"22","동상동",91
"86","진영읍",76
"31","본산리",75
"62","어방동",71
"4","관동동",66
"41","삼문동",66
"42","삼방동",57
"72","율하동",48
"43","삼정동",46
"63","여래리",45
"19","대청동",44
"75","이동",43
"18","대성동",39
"32","봉황동",36
"98","흥동",32
"83","지내동",23
"12","내삼리",15
"33","부곡동",15
"93","풍유동",15
"79","전하동",14
"30","병동리",12
"68","우동리",12
"84","진례면",12
"2","강정동",11
"54","신문동",11
"58","안동",11
"81","주촌면",11
"82","죽곡리",11
"90","초정리",11
"47","서상동",10
"51","송현리",10
"95","한림면",10
"49","설창리",9
"27","무계동",8
"45","상동면",6
"87","천곡리",6
"92","퇴래리",6
"9","내덕동",5
"36","불암동",5
"46","생림면",5
"89","초전리",5
"97","화목동",5
"5","괴안동",4
"11","내룡리",4
"16","대동면",4
"20","덕산리",4
"24","매리",4
"34","부곡면",4
"52","수가동",4
"61","양동리",4
"70","월촌리",4
"73","응달동",4
"76","장방리",4
"88","청천리",4
"1","가산리",3
"8","나전리",3
"26","명법동",3
"67","우계리",3
"69","원지리",3
"74","의전리",3
"77","장유동",3
"3","고모리",2
"17","대병면",2
"21","덕암리",2
"25","명동리",2
"28","묵방리",2
"37","사산리",2
"38","산본리",2
"48","선지리",2
"50","송정리",2
"6","괴정리",1
"14","담안리",1
"15","대감리",1
"23","마사리",1
"29","방동리",1
"39","산인면",1
"44","상동",1
"53","시산리",1
"55","신용리",1
"56","신월리",1
"57","신천리",1
"59","안양리",1
"60","안하리",1
"64","예안리",1
"66","용덕리",1
"71","유하동",1
"80","주동리",1
"91","칠산서부동",1
"94","하계리",1
"96","한림읍",1
