"","Var1","Freq"
"1","시민복지국 시민복지과",641
"2","안전건설교통국 교통관리과",602
"3","장유출장소 생활지원과",432
"4","",281
"5","장유출장소 도시관리과",256
"6","안전건설교통국 도로과",187
"7","환경위생국 청소과",57
"8","안전건설교통국 건설과",55
"9","동상동",42
"10","환경위생국 환경관리과",39
"11","내외동",35
"12","안전건설교통국 경전철혁신과",35
"13","농업기술센터 공원녹지과",34
"14","상하수도사업소 하수과",30
"15","도시관리국 허가민원과",27
"16","도시관리국 공동주택관리과",26
"17","진영읍",23
"18","장유1동",17
"19","도시관리국 디자인건축과",15
"20","북부동",15
"21","안전건설교통국 안전총괄과",11
"22","장유3동",9
"23","도시관리국 도시개발과",8
"24","감사담당관",7
"25","도시관리국 도시계획과",7
"26","상하수도사업소 수도과",7
"27","활천동",7
"28","장유2동",6
"29","환경위생국 위생과",5
"30","농업기술센터 농축산과",4
"31","보건소 보건관리과",4
"32","삼안동",4
"33","시민복지국 체육지원과",4
"34","문화관광사업소 문화예술과",3
"35","부원동",3
"36","시민복지국 여성아동과",3
"37","주촌면",3
"38","칠산서부동",3
"39","행정자치국 정보통신과",3
"40","혁신경제국 토지정보과",3
"41","혁신경제국 투자유치과",3
"42","대동면",2
"43","문화관광사업소 관광과",2
"44","보건소 방문건강과",2
"45","차량등록사업소",2
"46","문화관광사업소 문화재과",1
"47","불암동",1
"48","생림면",1
"49","장유출장소 서무과",1
"50","평생교육사업소 칠암도서관",1
"51","한림면",1
"52","행정자치국 기획예산과",1
"53","혁신경제국 세무과",1
"54","혁신경제국 일자리창출과",1
"55","환경위생국 친환경생태과",1
