"","Var1","Freq"
"1","시민복지국 시민복지과",216
"2","안전건설교통국 교통관리과",142
"3","장유출장소 생활지원과",92
"4","안전건설교통국 도로과",70
"5","장유출장소 도시관리과",48
"6","안전건설교통국 건설과",25
"7","환경위생국 환경관리과",24
"8","내외동",18
"9","농업기술센터 공원녹지과",17
"10","도시관리국 공동주택관리과",17
"11","상하수도사업소 하수과",15
"12","환경위생국 청소과",15
"13","도시관리국 허가민원과",13
"14","안전건설교통국 경전철혁신과",9
"15","도시관리국 디자인건축과",7
"16","진영읍",7
"17","환경위생국 위생과",7
"18","북부동",6
"19","안전건설교통국 안전총괄과",6
"20","도시관리국 도시개발과",5
"21","문화관광사업소 문화예술과",5
"22","시민복지국 체육지원과",5
"23","농업기술센터 농축산과",4
"24","도시관리국 도시계획과",4
"25","보건소 보건관리과",3
"26","시민복지국 여성아동과",3
"27","장유3동",3
"28","차량등록사업소",3
"29","환경위생국 친환경생태과",3
"30","감사담당관",2
"31","보건소 방문건강과",2
"32","상하수도사업소 수도과",2
"33","장유1동",2
"34","장유출장소 서무과",2
"35","행정자치국 정보통신과",2
"36","혁신경제국 세무과",2
"37","혁신경제국 일자리창출과",2
"38","혁신경제국 토지정보과",2
"39","농업기술센터 기술지원과",1
"40","동상동",1
"41","문화관광사업소 관광과",1
"42","문화관광사업소 문화재과",1
"43","보건소 장유건강지원센터",1
"44","부원동",1
"45","삼안동",1
"46","장유2동",1
"47","활천동",1
