"","처리부서","민원건수","연장민원건수","민원처리기간_중앙값"
"1","시민복지국 시민복지과",1722,0,3
"2","안전건설교통국 교통관리과",1509,1,4
"3","장유출장소 생활지원과",961,0,6
"4","",619,0,NA
"5","장유출장소 도시관리과",525,0,2
"6","안전건설교통국 도로과",436,10,4
"7","농업기술센터 공원녹지과",127,2,6
"8","환경위생국 청소과",127,0,6
"9","안전건설교통국 경전철혁신과",126,0,3
"10","안전건설교통국 건설과",118,1,5
"11","도시관리국 공동주택관리과",116,2,4
"12","환경위생국 환경관리과",115,0,5
"13","장유출장소 서무과",106,0,7
"14","상하수도사업소 하수과",94,2,5
"15","도시관리국 허가민원과",88,2,4
"16","내외동",76,0,4
"17","도시관리국 디자인건축과",51,0,6
"18","동상동",46,0,2
"19","장유1동",43,26,8
"20","도시관리국 도시계획과",41,1,1
"21","북부동",41,0,1
"22","진영읍",39,0,7
"23","환경위생국 위생과",35,0,6
"24","안전건설교통국 안전총괄과",33,0,3
"25","농업기술센터 농축산과",31,0,7
"26","보건소 보건관리과",28,1,4
"27","장유3동",26,0,1
"28","보건소 방문건강과",22,0,7
"29","장유2동",22,0,6
"30","감사담당관",21,4,8
"31","상하수도사업소 수도과",21,0,5
"32","도시관리국 도시개발과",18,0,1
"33","문화관광사업소 문화예술과",16,0,3
"34","혁신경제국 일자리창출과",15,0,6
"35","문화관광사업소 관광과",14,0,6
"36","시민복지국 여성아동과",14,0,7
"37","부원동",13,0,3
"38","시민복지국 체육지원과",13,0,4
"39","삼안동",12,0,1
"40","환경위생국 친환경생태과",11,0,4
"41","문화관광사업소 문화재과",10,0,3
"42","차량등록사업소",10,0,2
"43","칠산서부동",10,0,5
"44","활천동",9,1,3
"45","혁신경제국 토지정보과",8,0,3
"46","혁신경제국 세무과",6,0,4
"47","혁신경제국 투자유치과",6,0,6
"48","한림면",5,0,3
"49","행정자치국 정보통신과",5,0,8
"50","농업기술센터 기술지원과",4,0,1
"51","시민복지국 생활안정과",4,0,3
"52","행정자치국 총무과",4,0,5
"53","주촌면",3,0,2
"54","농업기술센터 농업경영과",2,0,4
"55","대동면",2,0,7
"56","보건소 장유건강지원센터",2,0,3
"57","평생교육사업소 교육도시육성과",2,0,0
"58","평생교육사업소 장유도서관",2,0,1
"59","평생교육사업소 칠암도서관",2,0,6
"60","불암동",1,0,0
"61","생림면",1,0,7
"62","진례면",1,0,4
"63","행정자치국 기획예산과",1,0,2
"64","행정자치국 회계과",1,0,4
"65","혁신경제국 납세과",1,0,1
"66","회현동",1,0,7
